dept,code,group_logo,embed_link,group_name,proponents,main_categ,sub_categ,title,abstract,abstract_raw,sdg
CE,CIV-01,https://drive.google.com/file/d/14MgT0vBt-OhORdM_jsICRicrNGHgREhA/view?usp=share_link,https://drive.google.com/uc?export=view&id=14MgT0vBt-OhORdM_jsICRicrNGHgREhA,7 - Ups,"GARCIA, Jean Rose P., ZAPANTA, Romie M., FRANCISCO, Jhay Anne G., AQUINO, Marion Noel S., BINASAHAN, Emerson B., DE DIOS, Jericho P., ESCALA, Krist Christopher A., MANZANO, Shiela Marie L., PALIZA, Reiziel Anne C.",Civil,Material and Field Testing,Property Characterization of Concrete Bricks using Corn Cob Ash as Partial Replacement to Cement and Crushed Mussel Shells as Partial Replacement to Fine Aggregates,https://drive.google.com/open?id=1FmSSp9ksgFrjGjhjf_l5D5Q6ooOnDS_8,"The abundance of waste mussel shells and corn cobs and literatures pertaining to their characteristics that
has potential to be a replacement to fine aggregate and cement motivated the objective of this study. This
study was conducted to characterize the physical and mechanical properties of concrete bricks
(21.5cmx10.25cmx6.5cm) using corn cob ash (CCA) and crushed mussel shell (CMS) as partial
replacement to cement and fine aggregates. The utilization of 9 different mix proportions aimed to
determine the most suitable proportion of replacement. 0%, 15%, 20%, 25% by weight of Type 1T
Cement was replaced with CCA, and 0%, 20%, 25%, 30% by weight of Fine aggregates was replaced
with CMS, having the 0% replacement as the control. 3 different mix proportions with both CCA and
CMS replacement were also made. In addition, this study sought to test the concrete bricks cured in 7, 14,
and 28 days in terms of their water absorption, compressive and flexural strength. In reference to
preliminary studies, waste mussel shells and corn cobs are expected to be an effective partial
replacements for cement and fine aggregates in concrete brick production. Concrete bricks produced
using these waste materials are anticipated to exhibit comparable physical and mechanical properties to
those produced using traditional materials, with the optimum proportion of replacement being 15% CCA
and 25% CMS.",SDG: Goal 3: Sustainable Cities and Communities
CE,CIV-02,https://drive.google.com/file/d/1KRchXtKq0sCPsia7nzvNu1zimJlt74ag/view?usp=share_link,https://drive.google.com/uc?export=view&id=1KRchXtKq0sCPsia7nzvNu1zimJlt74ag,AMAIZED,"LEGASPI, Edgardo S., REPANA, Jeson C., LLARENA, Riezza May D., GONZALES, Dexter O., TRIA, Marvin Lloyd G., VENEZUELA, Darween L., VERZOSA, John Daeniel C.",Civil,Material and Field Testing,Development of Collapsible Food Cart Using Corn Cob Composite Board Reinforced with Corn Husk Fiber with Polyester Resin as Binder,https://drive.google.com/open?id=1oCvX8XjEOTXvcEjg1ssxyQOYeTVJHp2H,"There is heightened concern regarding the agricultural waste accumulated over the past years. One of
the most produced crops in the Philippines is corn. Corn is one of the major crops consumed by
humans and is also used for industrial and poultry purposes. Environmental products are one way of
solving environmental problems and developing new materials. The continuous trend of composite
materials and food carts stimulated the demands of customers and entrepreneurs. Collapsible furniture
has the advantage of being able to be stored in small spaces. The researcher of this study aimed to
develop a collapsible food cart using corn cob composite board reinforced with corn husk fiber with
polyester resin as binder. The composite board is primarily made up of corn cob (CC) and reinforced
with corn husk fiber (CHF). Optimum mix ratio of CC, CHF, and Binder are identified which
established as the most durable and sustainable composite board. The composite board will be used in
fabricating the collapsible food cart. Turning the corn wastes into valuable material will help the
aspiring entrepreneurs and society in their living. It is expected that the boards, which undergone
several testing, will comply with the standards for particleboards. Also, the design of the collapsible
food cart will be acceptable to the population.","SDG: Goal 9: Industry, Innovation, and Infrastructure"
CE,CIV-03,https://drive.google.com/file/d/17DrdOz1UKzsKIpS5TJ8333T4tA5okV6Z/view?usp=share_link,https://drive.google.com/uc?export=view&id=17DrdOz1UKzsKIpS5TJ8333T4tA5okV6Z,Banana ConCreto,"MONTEMAYOR, Elezar M., LEGASPI, Edgardo S., ENCENDENCIA, Rajah P. DEVANADERA, Mysty S., DOLUNTAP, Zyrah E., DOMINGUEZ, Faye Mariz C., EGAR, Pamela Mae H.,",Civil,Material and Field Testing,Property Characterization of Concrete Grid Grass Paving Unit Using Saba Banana Peel Ash as Partial Cement Substitute,https://drive.google.com/open?id=1ZcYUpnzFrLkHG2OwhW-Nofnf7MZoaHoA,"Manufactured surfaces contribute to urban heat and stormwater runoff as cities expand. Materials like
concrete and asphalt require a lot of energy and use harmful petroleum compounds to bond asphalt. On
the other hand, grass pavers require significantly less energy to transport than concrete or asphalt because
they are lightweight, inexpensive to transport, and readily available locally. Additionally, it helps prevent
soil erosion and protects the subsoil. The general objective of the study is to determine the potential of
Saba Banana Peel Ash (BPA) as a partial substitute in cement in the production of concrete grid grass
paving unit. The type of banana that will be used in this study is the Saba Banana. These were collected
from the local markets in San Jose del Monte City, Bulacan. The banana peels were rinsed to remove the
impurities and then sundried and burned for 30 minutes at 110°C. The chemical properties of BPA were
analyzed at the Department of Science and Technology – Industrial Technology Development Institute
(DOST-ITDI). The BPA were tested for its specific gravity and density following ASTM C188. The
percentage of BPA as a partial replacement for cement is limited only to 5%, 10%, 15%, and 20%. The
samples will be tested under the ASTM standards and procedure after 7, 14, and 28 days of curing.",SDG: Goal 11: Sustainable Cities and Communities
CE,CIV-04,https://drive.google.com/file/d/1IN8HWGhsZeGEkrKDz9LYRUxY78GzNwON/view?usp=share_link,https://drive.google.com/uc?export=view&id=1IN8HWGhsZeGEkrKDz9LYRUxY78GzNwON,BR Wall,"ABAYAN, Christian Japhet M., BENIALON, Mercy Grace C., DE GUZMAN, Lester S., MANGCO, Christopher L., SALAVER, Jalen Anthony L.",Civil,Material and Field Testing,Flexural Behavior of Bambusa Merrilliana as Reinforcement for Partition Wall with Finite Element Analysis Simulation,https://drive.google.com/open?id=1rqTlHCZ51Kh2f74R3GvbXmO5DZblF_LH,"Bamboo is frequently referred to as &quot;strong as steel&quot; concrete reinforcement (Archilla, et al. 2018).
The construction industry can save money and time by using bamboo as partial reinforcement instead
of steel. Engineers and future researchers, on the other hand, may consider expanding the analysis by
using substitute reinforcement, such as the traditional construction material Bamboo (Bambusa
Merrilliana), as partial reinforcement. The purpose of this research is to conduct an experimental
testing and finite element analysis with ANSYS software on a partition wall reinforced with bamboo
to determine whether bamboo could be used as an alternative reinforcement for a non-load bearing
wall panel. It will be held at Technological University of the Philippines - Manila during the academic
year 2022-2023, and the obtained results will be compared to those obtained through experimentation
and various testing methods to verify the simulation results. The results of the numerical analysis
demonstrated that the partition wall reinforced with Bambusa Merrilliana had a greater load-bearing
capacity and stiffness than the partition wall without reinforcement. Additionally, the Bambusa
Merrilliana reinforcement enhanced the overall performance of the partition wall by decreasing
deflection and increasing its energy absorption capacity. The study concluded that Bambusa
Merrilliana is an effective material for partition wall reinforcement. The results of the FEA simulation
demonstrated that the incorporation of Bambusa Merrilliana can enhance the flexural behavior and
overall performance of partition walls. This research&#39;s findings could be used to develop eco-friendly
and sustainable partition walls for construction applications.",SDG: Goal 11: Sustainable Cities and Communities
CE,CIV-05,https://drive.google.com/file/d/15AlVrK3q0VqxSaoQhjgcU3mTU_A_RHXT/view?usp=share_link,https://drive.google.com/uc?export=view&id=15AlVrK3q0VqxSaoQhjgcU3mTU_A_RHXT,Builders Squad,"ADORNADO, Raven A., ODIAS, Marie Joy B., RIVERA, Rico C., ROXAS, Miller Kesfer I., SANTOS, Hanelet D., VILLALUZ, Geraljane R.",Civil,Material and Field Testing,Influence of Potato (Solanum Tuberosum) Peel Starch as a Set Retarder Admixture in a Mortar Cement,https://drive.google.com/open?id=1TPYPVomrj_iip6c49EXH41YQnDPOmp81,"The Philippines is known to be one of the biggest waste producers in the world. This led various
studies to recycle materials viable for construction. In Blumentritt Market, a great amount of potato is
being processed everyday alongside a large amount of waste peel is being discarded. In the
construction industry, set retarder admixture is used in most tropical countries such as the Philippines
to counteract the rapid hardening due to warm temperature. The study aims to determine the effects of
Potato (Solanum Tuberosum) Peel Starch as a set retarder enhancer admixture in mortar cement. The
potato peel starch is tested to Fourier Transform infrared (FTIR) spectroscopy to analyze the
composition. The researchers set varying amounts of potato peel starch to the fixed cement, sand and
water ratio 0%, 0.5%, 1%, 1.5%, 2%, 3%, 3.5% and 4% from the weight of cement. The freshly
mixed cement mortars are tested for setting time, board life and workability. The specimens were
cured for 7, 14, and 28 days and subjected to compressive strength. From all the test conducted, it was
found that the Potato (Solanum Tuberosum) Peel Starch as a Set Retarder Admixture can improve the
state of the mortar, for it gives significant delay to setting time, increased in workability, board life
and compressive strength of the mortar specimen.","SDG: Goal 9: Industry, Innovation and Infrastructure"
CE,CIV-06,https://drive.google.com/file/d/1O5h1yjVKtelEkoUgUeOX2_QNB238Ecej/view?usp=share_link,https://drive.google.com/uc?export=view&id=1O5h1yjVKtelEkoUgUeOX2_QNB238Ecej,Camp Kawayan,"BERSAMINA, Juan Paulo L., GARNA, Jasinne C., GADIA, Jaime R., CIPRIANO, Allyson Joy V., DEPLOMO, John Reynan C., ESPANOL, Kyle Albretch A., ZAPANTA, Bruce Perry C.",Civil,Material and Field Testing,Investigation on the Strength Capacity of Sleeves-and-Inserts Bamboo Bolt Connection on Bambusa blumeana (Kauayan Tinik) Under Uniaxial Tension with Finite Element Analysis in ANSYS,https://drive.google.com/open?id=1SxgID4bsMUAfc83KNmU1L-GMZpk3k8nh,"Using bamboos as sustainable building material has been the subject of numerous research as they possess
characteristics of good alternative construction materials. However, its purpose is limited since there is a lack of
bamboo connections (Hong &amp; Yang, 2019) and information on full-culm connection due to few standards and
building codes (Ramful, 2021). With that, the researchers conducted a study that focuses on investigating the
strength capacity of sleeves-and-inserts bolt bamboo connection under uniaxial tension. This study used Bambusa
blumeana or ‘Kauayan-Tinik’ aged three to four years. The samples went through the bolt connection technique
and their strength were determined and investigated. The connection was formed by joining two 400mm bamboos
with similar diameter of 65mm and by inserting a 250mm bamboo with 55mm diameter inside it, while the bolts
served as the connector. These samples have different configuration of number of bolts, edge distance, and bolt
spacing depending on the bolt’s diameter. The samples’ strength capacity was investigated using uniaxial tension
tests under the ISO 22157-1:2004 standard. In addition, a simulation analysis was conducted through finite
element analysis (FEA) in ANSYS to verify the results obtained from the actual test. The actual test stated that
bamboo samples with 4 bolts with diameters of 10mm have the highest strength capacity among others. Through
verification of results in ANSYS, it may have little discrepancy, but still gave similar conclusion with the actual
testing. With that, it can be concluded that the bamboo connected through bolts can be an alternative construction
material.",SDG: Goal 11: Sustainable Cities and Communities
CE,CIV-07,https://drive.google.com/file/d/1VNHo2Z5KFvIvYuFrNUWYemCnPWT0Hro0/view?usp=share_link,https://drive.google.com/uc?export=view&id=1VNHo2Z5KFvIvYuFrNUWYemCnPWT0Hro0,CocoBoard,"DELA CRUZ, Edmundo C., NEPALES, Kristine Jewel D., AGITO, Rafael S., ANGON, John Roque M., AVENDA, Christopher, FALLER, Angelica E., LENTE, John Daryll T., QUILICOL, Aljohn G.",Civil,Material and Field Testing,Property Characterization of Bio-Composite Board Made from Coconut Shell Particle and Coconut Coir Reinforced Bonded with Sucrose - Citric Acid,https://drive.google.com/open?id=1N8WvYMD_BKrBTfexxYpzUdL3OeeA5iV6,"According to the Forestry Statistics in 2018, 467 million m3 of sawn wood, 415 million m3 of wood-
based panels and 409 million tons of paper was the recorded global production of wood products, and
this is expected to increase by 37% in 2050. In line with this, innovations using renewable materials
are made to overcome the shortage. The researchers aimed to produce a composite board using eco-
friendly materials and adhesive, moreover, to test its physical and mechanical properties following the
ASTM standards. Coconut shells were cleaned, pulverized, and treated using NaOH for 2 hours.
Meanwhile, coconut coir was treated using NaOH for 72 hours and cut into optimum length of 3 cm.
Anhydrous citric acid and sucrose was diluted in distilled water with a concentration of 60%.
Different ratios of sucrose and citric acid were prepared: 0:100, 15:85, 25:75. Composite board was
assembled and adhesive was activated through hot pressing at 180° C for 10 minutes. After cooling
down, boards were cut and prepared for testing. Physical and mechanical properties was tested
specifically: water absorption, thickness swelling, modulus of rupture, modulus of internal bond and
nail head pull through. The result showed that composite board with 70:30 coconut shell particles and
coconut coir bonded with 25:75 sucrose and citric acid yielded the best result among the different set
ups.","SDG: Goal 9: Industry, Innovation, and Infrastructure"
CE,CIV-08,https://drive.google.com/file/d/1sShjI9vP1mKJmdofxwlBIfESeJveVhU9/view?usp=share_link,https://drive.google.com/uc?export=view&id=1sShjI9vP1mKJmdofxwlBIfESeJveVhU9,Deux El Primo,"GARCIA, Teodinis P., MACASILHIG, Marjun B., CAREL, Patrisha Nikole P., CALISO, Veronica C., GALOS, Jayson U., MANANSALA, John Darly J., MARTINEZ, John Steven J., PARTOZA, Knowell Jan B.",Civil,Material and Field Testing,"Characterization of Physical, Mechanical, and Thermal Properties of Particle Board Utilizing Coir and Coconut Shell with Cornstarch and Polyvinyl Alcohol Mixture as Binder",https://drive.google.com/open?id=15lmeo7D-4_NiEFDms9WIJM2XT-fqroAr,"The construction industry of the Philippines is still leaning towards using concrete instead of wooden
construction materials due to the inherent risk of the flammability of the wood, despite the abundance
of forest land area. The commercially available fire-retardants are high in toxicity levels and chemical
hazards. With that, the researchers of this study aimed to manufacture a sustainable fire-resisting
particle board utilizing coconut shell, coir, and cornstarch-polyvinyl alcohol (CPVA) mixture. The
supply of materials was abundant and locally available. Raw materials, coir and coconut shell, were
tested to gather results for density and moisture content. The results showed a significant difference
between the average relative densities of coir and coconut shell, 0.12 and 1.28 g/cm 3 , respectively.
Meanwhile, the moisture content of the two materials varies between 13% to 15%. The total solids in
the CPVA mixture were also tested, and the results revealed an average total solid content of 18.35%.
Five experimental samples of particle board with varying particle mix proportions of coir and coconut
shell, such as 0% and 100%, 25% and 75%, and 50% and 50% by volume, will undergo physical,
mechanical, and thermal properties testing. The results to be expected will determine the most suitable
property mix that performs at par with the commercially available particle boards in the market.",SDG: 12: Responsible Consumption and Production
CE,CIV-09,https://drive.google.com/file/d/12qktluahVagIIq8kgXUf-5KA0-SMfP5_/view?usp=share_link,https://drive.google.com/uc?export=view&id=12qktluahVagIIq8kgXUf-5KA0-SMfP5_,FREEQS,"BERSAMINA, Juan Paulo L., LEGASPI, Edgardo S., BAYRON, Jemar A., GATON, Mark Jason D., GUTIERREZ, Lowrence Scott D., LAZARO, Kweenie D., MADELO, Warlito Jr. D., MAGTANONG, Arcie T.",Civil,Material and Field Testing,Smartphone-based Vibration Analysis with Finite Element Modelling of the Technological University of the Philippines - Manila - College of Engineering Building,https://drive.google.com/open?id=1cMXRPK3s4sbshu3zoa2guNZ5jB9CUMP8,"Structural Health Monitoring (SHM) is a technique used to detect and evaluate the damage,
degradation, or other changes in the structural integrity of a system over time. However, it involves
expensive sensors, data acquisition systems, and algorithms to continuously monitor and analyze the
system’s structural response. Thus, the researchers aimed to address the problem by using the
accelerometers which is built-in in smartphones through an application called “iDynamics” as an
alternative device for SHM. The expensive device called “Raspberry Shake 4D (RS4D)” and the
smartphone were installed at the 5 th floor of the COE building then undergone a vibration testing. The
raw acceleration data from the two devices were analyzed by an algorithm called “Fast Fourier
Transform (FFT)” that will be the basis of the Power Spectral Density (PSD) which used to obtain the
dominant frequencies of the building. However, these algorithms were not enough for the smartphone
accelerometers to obtain the same frequencies produced by the RS4D. Therefore, the researchers
deliberated a calibration in the settings of the iDynamics application and other filter analysis to fix the
issue arose. In addition, the Finite Element Modelling (FEM) were used to determine the response and
the condition of the structure’s health using the analyzed data from the vibration testing. In
conclusion, this innovative approach offers a practical way to monitor buildings, identify safety
issues, improve maintenance, and extend their lifespan.",SDG: Goal 11: Sustainable Cities and Communities
CE,CIV-10,https://drive.google.com/file/d/1v8nep54B-TdzBPKfJ__ot6_Lk_-800pI/view?usp=share_link,https://drive.google.com/uc?export=view&id=1v8nep54B-TdzBPKfJ__ot6_Lk_-800pI,GEOTIRES,"BUGARIN, Mark Joseph T., LEGASPI, Edgardo S., VILLAHERMOSA, Dariella Z., ESTRADA, Eric, LORETO, Frances Mae S., ORIBIANA, Angelica Marie Alyssa C., TING, John David D.",Civil,Material and Field Testing,Effectiveness of Waste Rubber Tire as a Biaxial Geogrid Reinforcement Material for Subgrade Soil Based on its California Bearing Ratio,https://drive.google.com/open?id=1PFCowLfsoj5XHmIcrRSgmxKcAtAjvb1n,"Improper disposal of waste rubber tires is one of the most serious problems in the Philippines. The poor
utilization and increasing rate of accumulation of waste rubber tires in landfills poses environmental
concerns. To solve these issues, this study aims to determine the effectiveness of waste rubber tire as a
biaxial geogrid reinforcing material for subgrade soil. A powdered waste rubber tires were mixed with a
binding material, shredded HDPE, using a ratio of 65% rubber to 35% HDPE. The mixture was processed
under a roll mill machine and pressed in a compression molder to produce an 8 by 8 inches sheet with 2-
mm thickness. An equally spaced 33-mm by 33-mm aperture were extruded from the sheet to form a grid.
It was then tested for physical properties to determine rib thickness and aperture. Moreover, mechanical
tests including tensile strength will be tested using a Multi-rib Tensile Method (ASTM 6637) and the
California Bearing Ratio Test (ASTM D1883) will be performed on both commercially available geogrids
and the waste rubber geogrid. Test specimens includes unreinforced subgrade soil, a subgrade soil
reinforced with commercially available geogrid, and a subgrade soil reinforced with the rubber geogrid.","SDG: Goal 9: Industry, Innovation and Infastracture"
